rank,provider,url,host,providerAddress,totalVouchers,activeChannels,unclaimedVouchers,totalEarnedRaw,totalEarnedUsdc,estEarnedMinRaw,estEarnedMinUsdc,estEarnedMaxRaw,estEarnedMaxUsdc,modelPriceMinRaw,modelPriceMinUsdc,modelPriceMaxRaw,modelPriceMaxUsdc,authMode,trafficStatus,statsStatus,error,lastVoucherAt
1,HS58-Desearch,https://hs58-desearch-production.up.railway.app,hs58-desearch-production.up.railway.app,0xCCf2a94EcC6002b8Dd9d161ef15Bb4ABD5cD9E41,466,25,48,0,0.000000,104850,0.104850,2796000,2.796000,225,0.000225,6000,0.006000,open,traffic,200,,2026-04-07T06:03:29.281Z
2,HS58-OpenRouter,https://hs58-openrouter-production.up.railway.app,hs58-openrouter-production.up.railway.app,0xCCf2a94EcC6002b8Dd9d161ef15Bb4ABD5cD9E41,169,18,21,0,0.000000,0,0.000000,38025000,38.025000,0,0.000000,225000,0.225000,open,traffic,200,,
3,HS58-Webtools,https://hs58-webtools-production.up.railway.app,hs58-webtools-production.up.railway.app,0xCCf2a94EcC6002b8Dd9d161ef15Bb4ABD5cD9E41,52,5,0,0,0.000000,390000,0.390000,520000,0.520000,7500,0.007500,10000,0.010000,open,traffic,200,,
4,HS58-Claude,https://awake-consideration-production-5449.up.railway.app,awake-consideration-production-5449.up.railway.app,0xCCf2a94EcC6002b8Dd9d161ef15Bb4ABD5cD9E41,33,6,1,0,0.000000,12375,0.012375,742500,0.742500,375,0.000375,22500,0.022500,open,traffic,200,,
5,HS58-OpenAI,https://hs58-bittensor-openai-production.up.railway.app,hs58-bittensor-openai-production.up.railway.app,0x03204C6139767c1AfB002693853d1bDF6c16b8Bb,14,13,0,0,0.000000,3150,0.003150,630000,0.630000,225,0.000225,45000,0.045000,open,traffic,200,,
6,HS58-Replicate,https://hs58-replicate-production.up.railway.app,hs58-replicate-production.up.railway.app,0xCCf2a94EcC6002b8Dd9d161ef15Bb4ABD5cD9E41,13,6,0,0,0.000000,195000,0.195000,5850000,5.850000,15000,0.015000,450000,0.450000,open,traffic,200,,
7,Community-Targon,https://hs58-production-5ee9.up.railway.app,hs58-production-5ee9.up.railway.app,0xCCf2a94EcC6002b8Dd9d161ef15Bb4ABD5cD9E41,5,4,0,0,0.000000,5000,0.005000,12500000,12.500000,1000,0.001000,2500000,2.500000,open,traffic,200,,
8,Community-Taostats,https://hs58-production-1390.up.railway.app,hs58-production-1390.up.railway.app,0xCCf2a94EcC6002b8Dd9d161ef15Bb4ABD5cD9E41,4,3,0,0,0.000000,20000,0.020000,20000,0.020000,5000,0.005000,5000,0.005000,open,traffic,200,,
9,Community-TPN,https://hs58-tpn-production.up.railway.app,hs58-tpn-production.up.railway.app,0xCCf2a94EcC6002b8Dd9d161ef15Bb4ABD5cD9E41,3,3,0,0,0.000000,15000,0.015000,15000,0.015000,5000,0.005000,5000,0.005000,open,traffic,200,,
10,HS58-Apify,https://hs58-production.up.railway.app,hs58-production.up.railway.app,0xCCf2a94EcC6002b8Dd9d161ef15Bb4ABD5cD9E41,2,2,0,0,0.000000,20000,0.020000,64000000,64.000000,10000,0.010000,32000000,32.000000,open,traffic,200,,
11,HS58-OpenAI,https://alluring-caring-production.up.railway.app,alluring-caring-production.up.railway.app,0xCCf2a94EcC6002b8Dd9d161ef15Bb4ABD5cD9E41,2,1,0,0,0.000000,450,0.000450,90000,0.090000,225,0.000225,45000,0.045000,open,traffic,200,,
12,Mozart-Allocator,https://hs58-production-ec82.up.railway.app,hs58-production-ec82.up.railway.app,0x54d4172f91A0e9A023519A89055fC33776758DF6,1,1,0,0,0.000000,4000,0.004000,8000,0.008000,4000,0.004000,8000,0.008000,open,traffic,200,,
13,Mozart-CompeteOps,https://hs58-production-a54b.up.railway.app,hs58-production-a54b.up.railway.app,0x54d4172f91A0e9A023519A89055fC33776758DF6,1,1,0,0,0.000000,4000,0.004000,8000,0.008000,4000,0.004000,8000,0.008000,open,traffic,200,,
14,Mozart-DelegationOps,https://hs58-production-53f1.up.railway.app,hs58-production-53f1.up.railway.app,0x54d4172f91A0e9A023519A89055fC33776758DF6,1,1,0,0,0.000000,4000,0.004000,8000,0.008000,4000,0.004000,8000,0.008000,open,traffic,200,,
15,Mozart-ProfitOps,https://hs58-production-c7ed.up.railway.app,hs58-production-c7ed.up.railway.app,0x54d4172f91A0e9A023519A89055fC33776758DF6,1,1,0,0,0.000000,4000,0.004000,8000,0.008000,4000,0.004000,8000,0.008000,open,traffic,200,,
16,Mozart-TreasuryOps,https://hs58-production-c9a5.up.railway.app,hs58-production-c9a5.up.railway.app,0x54d4172f91A0e9A023519A89055fC33776758DF6,1,1,0,0,0.000000,4000,0.004000,8000,0.008000,4000,0.004000,8000,0.008000,open,traffic,200,,
17,Mozart-UptimeOps,https://hs58-production-5f74.up.railway.app,hs58-production-5f74.up.railway.app,0x54d4172f91A0e9A023519A89055fC33776758DF6,1,1,0,0,0.000000,4000,0.004000,8000,0.008000,4000,0.004000,8000,0.008000,open,traffic,200,,
18,Mozart,https://hs58-production-1927.up.railway.app,hs58-production-1927.up.railway.app,0x54d4172f91A0e9A023519A89055fC33776758DF6,1,0,0,0,0.000000,5000,0.005000,10000,0.010000,5000,0.005000,10000,0.010000,open,traffic,200,,
